name,year,general,location,terrain,attacker_troops,defender_troops,attacker_tactics,defender_tactics,outcome,key_lesson,general_insight
Mamma,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Mamma or the Battle of Mammes (Arabic: معركة ممس) took place in 688 between the Arab Muslim forces of the Umayyad Caliphate and the Berbers led by Caecilius of the Kingdom of Altava.

"
Cynoscephalae,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Cynoscephalae (Greek: Μάχη τῶν Κυνὸς Κεφαλῶν) was an encounter battle fought in Thessaly in 197 BC between the Roman army, led by Titus Quinctius Flamininus, and the Antigonid dynasty of"
Chumonchin Chan,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of Chumonchin Chan or the action of 2 July 1950 was fought between surface combatants during the main phase of the Korean War. It began after an Allied flotilla encountered a Korean People'
American Civil War spies,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Tactical or battlefield intelligence became vital to both sides in the field during the American Civil War. Units of spies and scouts reported directly to the commanders of armies in the field, provid"
Clontarf,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Clontarf (Irish: Cath Chluain Tarbh) took place on 23 April 1014 at Clontarf, near Dublin, on the east coast of Ireland. It pitted an army led by Brian Boru, High King of Ireland, agains"
Middle Eastern theatre of World War I,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Middle Eastern theatre of World War I saw action between 30 October 1914 and 30 October 1918. The combatants were, on one side, the Ottoman Empire (including the majority of Kurdish tribes and Cir"
Kurukshetra War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Kurukshetra War (Sanskrit: कुरुक्षेत्रयुद्ध), also called the Mahabharata War, is a war described in the Hindu epic poem Mahabharata, arising from a dynastic struggle between two groups of cousins"
Ghosts of the American Civil War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,Tales of ghosts from the American Civil War have been popularly shared since its end.  Among the locales that have become known for Civil War ghost stories are the Sharpsburg battlefield near Sharpsbu
Vietnam War order of battle: Australia,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The order of battle of Australian forces during the Vietnam War consisted of a small group of military advisors from 1962, but grew to include an infantry battalion based in Bien Hoa in 1965. This for"
Delville Wood order of battle,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Delville Wood was fought from 14 July to 3 September 1916, one of the twelve battles of the Somme in 1916. It was fought by the British and French against the army of the German Empire i"
Šmarje–Sap,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of Šmarje-Sap was an engagement which took place on 13 September 1813 in the French Illyrian provinces between the Napoleonic Italian and Austrian forces.
Edington,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"{{Infobox military conflict
| conflict          = Battle of Edington
| partof            = the Viking invasions of England
| date              = May 878
| image             = Ethandunmem.jpg
| image_s"
Aftermath of World War I,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The aftermath of World War I saw far-reaching and wide-ranging cultural, economic, and social change across Europe, Asia, Africa, and in areas outside those that were directly involved. Four empires c"
the Yarmuk,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of the Yarmuk (also spelled Yarmouk; Arabic: معركة اليرموك) was a major battle between the army of the Byzantine Empire and the Arab Muslim forces of the Rashidun Caliphate, and a crucial p"
Galwan,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Battle of Galwan, also known as Battle of ""No.14 Indian Post in Galwan""(Chinese: 加印第14号据点作战)by the Chinese. It is one of the earliest battles of Sino-Indian War that took place in Aksai Chin of Wester"
Pipli Sahib,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Pipli Sahib, also known as Battle of Amritsar, was fought by the Sikh Misls and the Durrani Empire. 
Seeking to avenge past defeats, the Sikhs rallied and engaged in conflict with the Af"
Fahl,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Fahl (Arabic: يوم فحل, romanized: Yawm Faḥl), also known as the Battle of the Marshes (Yawm al-Radagha) and the Battle of Beisan (Yawm Baysān), was a major battle in the Muslim conquest "
Actium,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Actium was a naval battle fought between Octavian's maritime fleet, led by Marcus Agrippa, and the combined fleets of both Mark Antony and Cleopatra. The battle took place on 2 September"
Hürtgen Forest,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Hürtgen Forest (German: Schlacht im Hürtgenwald) was a series of battles fought from 19 September to 16 December 1944, between American and German forces on the Western Front during Worl"
Gettysburg order of battle: Union,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Union order of battle during the Battle of Gettysburg includes the American Civil War officers and men of the Army of the Potomac (multiple commander names indicate succession of command during th
Bạch Đằng (1288),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Bạch Đằng was a decisive naval battle during the third Mongol invasion of Vietnam between Đại Việt commanded by Commander-in-Chief Prince Trần Quốc Tuấn (Prince Hưng Đạo), and the fleet "
List of battles of the French invasion of Russia,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"This is a list of sieges, land and naval battles of the French invasion of Russia (24 June – 14 December 1812).

"
Mohács (1687),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Second Battle of Mohács, also known as the Battle of Harsány Mountain, was fought on 12 August 1687 between the forces of Ottoman Sultan Mehmed IV, commanded by the Grand Vizier Sarı Süleyman Pash"
the Chinese Farm,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of the Chinese Farm took place during October 15 to October 17, 1973 between the Egyptian Army and the Israel Defense Forces (IDF), as part of the Yom Kippur War. It was fought in the Sinai"
Battles of Kawanakajima,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battles of Kawanakajima (川中島の戦い, Kawanakajima no tatakai) were a series of battles fought in the Sengoku period of Japan between Takeda Shingen of Kai Province and Uesugi Kenshin of Echigo Provinc"
List of battles involving Korea,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,This is a list of land and naval battles involving Korea.
